season,round,driver_code,win_books,win_avg_american_odds,win_avg_decimal_odds,win_best_american_odds,win_best_decimal_odds,win_best_sportsbook,win_market_implied_probability,win_market_no_vig_probability,podium_books,podium_avg_american_odds,podium_avg_decimal_odds,podium_best_american_odds,podium_best_decimal_odds,podium_best_sportsbook,podium_market_implied_probability,podium_market_no_vig_probability,podium_market_avg_american_odds,podium_market_avg_decimal_odds,podium_market_best_american_odds,podium_market_best_decimal_odds,podium_market_probability,podium_market_no_vig_probability_only,podium_estimated_probability,podium_estimated_decimal_odds,podium_estimated_american_odds,podium_effective_avg_decimal_odds,podium_effective_avg_american_odds,podium_effective_best_decimal_odds,podium_effective_best_american_odds,podium_effective_probability,podium_effective_no_vig_probability,podium_odds_source
2025,1,LAW,1,18000,181,18000,181,not specified,0.00552486187845303,0.00478283670384921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,LEC,1,1500,16,1500,16,not specified,0.0625,0.0541058402122942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,NOR,1,145,2.45,145,2.45,not specified,0.408163265306122,0.353344262610901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,OCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,PIA,1,390,4.9,390,4.9,not specified,0.204081632653061,0.17667213130545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,RUS,1,1200,13,1200,13,not specified,0.0769230769230769,0.0665918033382082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,SAI,1,7500,76,7500,76,not specified,0.0131578947368421,0.0113907032025883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,STR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,TSU,1,11000,111,11000,111,not specified,0.009009009009009,0.00779904003060096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,VER,1,230,3.3,230,3.3,not specified,0.303030303030303,0.262331346483851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,2,ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,2,ALO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,2,ANT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
